EmployeeID,Age,Gender,Education,Department,City,Experience_Years,Salary,Performance_Score,Job_Satisfaction
EMP0001,39,Female,High School,HR,Delhi,22,59453.0,3,4.0
EMP0002,33,Male,High School,Engineering,Chennai,18,68239.0,5,5.0
EMP0003,41,Male,Bachelor,Engineering,Mumbai,20,84595.0,4,
EMP0004,50,Male,Master,Engineering,Mumbai,33,117202.0,5,5.0
EMP0005,32,Male,High School,Finance,Mumbai,12,,4,5.0
EMP0006,32,Male,PhD,HR,Delhi,13,72075.0,3,2.0
EMP0007,50,Female,High School,Marketing,Bangalore,30,74199.0,4,3.0
EMP0008,42,Male,Bachelor,Engineering,Mumbai,22,89356.0,4,3.0
EMP0009,30,Female,Master,Marketing,Hyderabad,12,65065.0,2,2.0
EMP0010,40,Male,Master,HR,Delhi,20,70240.0,3,4.0
EMP0011,30,Female,Master,Sales,Mumbai,12,62404.0,4,3.0
EMP0012,30,Male,Master,Engineering,Bangalore,11,73519.0,2,1.0
EMP0013,37,Female,Bachelor,Engineering,Mumbai,18,85380.0,4,3.0
EMP0014,18,Female,Master,Engineering,Bangalore,0,61106.0,4,5.0
EMP0015,18,Male,High School,Sales,Bangalore,0,39505.0,5,5.0
EMP0016,29,Male,Master,HR,Mumbai,12,61696.0,1,2.0
EMP0017,24,Female,Bachelor,Engineering,Mumbai,7,59957.0,3,3.0
EMP0018,38,Male,Master,Engineering,Delhi,18,80431.0,4,4.0
EMP0019,25,Male,Bachelor,Engineering,Mumbai,7,54484.0,3,2.0
EMP0020,20,Male,Bachelor,Finance,Mumbai,3,42579.0,4,5.0
EMP0021,49,Male,Bachelor,Engineering,Delhi,27,94835.0,4,3.0
EMP0022,32,Female,Master,HR,Delhi,15,69043.0,2,3.0
EMP0023,35,Male,High School,Sales,Bangalore,15,44594.0,3,4.0
EMP0024,20,Female,High School,Marketing,Bangalore,3,38975.0,3,4.0
EMP0025,29,Female,Bachelor,Engineering,Bangalore,9,64084.0,3,3.0
EMP0026,36,Female,High School,Engineering,Mumbai,14,66733.0,5,5.0
EMP0027,23,Female,Master,Sales,Mumbai,1,55561.0,4,5.0
EMP0028,38,Female,Bachelor,HR,Hyderabad,20,70484.0,4,3.0
EMP0029,28,Male,PhD,Sales,Bangalore,10,67657.0,4,5.0
EMP0030,32,Female,Bachelor,Sales,Hyderabad,12,51544.0,3,4.0
EMP0031,28,Female,High School,Engineering,Delhi,11,50740.0,5,4.0
EMP0032,53,Female,Master,Finance,Bangalore,31,96904.0,4,5.0
EMP0033,34,Female,Master,HR,Bangalore,15,65444.0,4,3.0
EMP0034,24,Male,Bachelor,Engineering,Delhi,3,52564.0,5,5.0
EMP0035,43,Male,Bachelor,Finance,Delhi,23,79843.0,3,3.0
EMP0036,22,Female,Master,Sales,Bangalore,4,52384.0,4,3.0
EMP0037,37,Male,Bachelor,Sales,Mumbai,17,62375.0,2,2.0
EMP0038,18,Female,PhD,HR,Delhi,0,48749.0,3,3.0
EMP0039,21,Male,PhD,HR,Chennai,5,60343.0,3,2.0
EMP0040,36,Male,Master,Sales,Hyderabad,16,72209.0,5,5.0
EMP0041,42,Male,High School,Engineering,Delhi,25,77048.0,5,5.0
EMP0042,36,Male,Master,Marketing,Delhi,15,75554.0,4,5.0
EMP0043,33,Male,High School,Finance,Mumbai,16,61507.0,4,3.0
EMP0044,31,Male,High School,Engineering,Bangalore,15,67594.0,4,4.0
EMP0045,20,Female,Bachelor,Marketing,Delhi,0,41541.0,5,5.0
EMP0046,27,Female,Bachelor,Marketing,Hyderabad,7,49666.0,3,4.0
EMP0047,30,Male,Master,Marketing,Delhi,13,70265.0,3,3.0
EMP0048,45,Female,Master,Sales,Delhi,26,86435.0,2,2.0
EMP0049,38,Female,Master,Finance,Bangalore,20,80937.0,4,5.0
EMP0050,18,Female,Bachelor,Engineering,Chennai,0,54807.0,4,5.0
EMP0051,38,Male,Bachelor,Engineering,Delhi,20,77281.0,3,2.0
EMP0052,31,Female,Bachelor,Engineering,Delhi,12,71542.0,1,1.0
EMP0053,28,Female,PhD,Finance,Hyderabad,12,79833.0,4,5.0
EMP0054,41,Male,High School,Sales,Mumbai,23,63459.0,1,1.0
EMP0055,45,Male,Master,Engineering,Hyderabad,27,100857.0,4,5.0
EMP0056,44,Female,Bachelor,HR,Mumbai,25,64090.0,5,5.0
EMP0057,26,Male,Bachelor,Finance,Chennai,7,53756.0,3,2.0
EMP0058,31,Female,Master,HR,Bangalore,12,62464.0,3,2.0
EMP0059,38,Male,Bachelor,Finance,Delhi,20,76799.0,4,4.0
